sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T20:04:32.575Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,4763.503000038072,form submission,,,,,,,,,,,,7829.010000044946,7828.1300000380725,2914.537,2923.1350000482053,3064.627,7851.272,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T20:04:33.083Z,,,,,517.0649999999996,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,8336.880000017118,8334.963,7801.229,7829.675000044517,7851.272,8368.337,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T20:04:35.029Z,,,true,41,1908.923000002571,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,10283.575000008568,10277.26000000257,8334.963,8337.380000040866,8368.337,10286.293,
Seq Number,flow.Sequence,1_0,2020-11-29T20:04:35.030Z,,,,,2425.9880000025705,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,10284.740000031888,10277.26000000257,7801.229,7829.599999997299,7851.272,10286.293,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T20:04:35.516Z,,,,,500.362000000001,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,10770.790000038687,10769.989,10269.621,10285.460000042804,10286.293,10786.655,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T20:04:36.607Z,,,true,85,1071.4750000078038,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,11861.095000000205,11858.130000007804,10769.989,10771.225000033155,10786.655,11870.742,
Seq Number,flow.Sequence,1_1,2020-11-29T20:04:36.608Z,,,,,1571.8370000078048,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,11861.895000038203,11858.130000007804,10269.621,10285.300000046846,10286.293,11870.742,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T20:04:37.101Z,,,,,500.33599999999933,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,12355.180000013206,12354.422,11854.028,11862.36500000814,11870.742,12371.078,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T20:04:38.759Z,,,true,58,1639.2120000056257,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,14013.290000031702,14010.290000005625,12354.422,12355.66000000108,12371.078,14022.199,
Seq Number,flow.Sequence,1_2,2020-11-29T20:04:38.760Z,,,,,2139.548000005625,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,14014.135000004899,14010.290000005625,11854.028,11862.309999996796,11870.742,14022.199,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T20:04:39.252Z,,,,,500.3629999999994,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,14506.630000018049,14505.862,14005.536,14014.655000006314,14022.199,14522.562,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T20:04:40.580Z,,,true,93,1308.6729999905565,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,15834.175000025425,15831.234999990556,14505.862,14507.05499999458,14522.562,15840.099,
Seq Number,flow.Sequence,1_3,2020-11-29T20:04:40.581Z,,,,,1809.0359999905559,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,15835.250000003725,15831.234999990556,14005.536,14014.57500003744,14022.199,15840.099,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T20:04:41.070Z,,,,,500.71500000000015,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,16324.650000024121,16323.785,15823.469,15835.880000027828,15840.099,16340.814,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T20:04:42.043Z,,,true,104,953.8710000298579,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,17297.80000000028,17294.68500002986,16323.785,16325.219999998808,16340.814,17307.807,
Seq Number,flow.Sequence,1_4,2020-11-29T20:04:42.044Z,,,,,1454.586000029858,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,17298.470000037923,17294.68500002986,15823.469,15835.77000000514,15840.099,17307.807,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T20:04:42.538Z,,,,,500.34400000000096,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,17792.18500002753,17791.457,17291.175,17298.784999991767,17307.807,17808.151,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T20:04:43.825Z,,,true,25,1267.5890000002219,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,19079.25500004785,19075.740000000224,17791.457,17797.030000016093,17808.151,19092.39,
Seq Number,flow.Sequence,1_5,2020-11-29T20:04:43.826Z,,,,,1767.9330000002228,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,19079.870000015944,19075.740000000224,17291.175,17298.73000003863,17307.807,19092.39,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T20:04:44.322Z,,,,,500.3100000000013,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,19576.730000029784,19576.019,19075.666,19080.275000014808,19092.39,19592.7,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T20:04:45.650Z,,,true,73,1308.2400000213638,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,20904.00000003865,20900.940000021365,19576.019,19577.055000001565,19592.7,20910.282,
Seq Number,flow.Sequence,1_6,2020-11-29T20:04:45.650Z,,,,,1808.5500000213651,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,20904.66000000015,20900.940000021365,19075.666,19080.185000027996,19092.39,20910.282,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T20:04:46.140Z,,,,,500.4490000000005,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,21394.78999999119,21394.001,20893.624,20905.079999996815,20910.282,21410.731,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T20:04:47.780Z,,,true,76,1620.2040000461566,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,23033.93000003416,23030.935000046156,21394.001,21395.220000005793,21410.731,23045.15,
Seq Number,flow.Sequence,1_7,2020-11-29T20:04:47.780Z,,,,,2120.653000046157,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,23034.700000018347,23030.935000046156,20893.624,20905.00000002794,20910.282,23045.15,
Fixation Cross,canvas.Screen,1_8_0,2020-11-29T20:04:48.275Z,,,,,500.3139999999985,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,23529.429999995045,23528.732,23028.44,23035.220000019763,23045.15,23545.464,
Stimulus Number,canvas.Screen,1_8_1,2020-11-29T20:04:49.740Z,,,true,35,1445.4410000132993,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,24994.000000006054,24990.9050000133,23528.732,23529.895000043325,23545.464,24996.429,
Seq Number,flow.Sequence,1_8,2020-11-29T20:04:49.740Z,,,,,1945.7550000132978,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,24994.63500001002,24990.9050000133,23028.44,23035.120000015013,23045.15,24996.429,
Fixation Cross,canvas.Screen,1_9_0,2020-11-29T20:04:50.226Z,,,,,500.3149999999987,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,25480.80000001937,25480.093,24979.742,24995.07500004256,24996.429,25496.744,
Stimulus Number,canvas.Screen,1_9_1,2020-11-29T20:04:52.141Z,,,true,75,1896.3310000290585,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,27395.799999998417,27393.075000029057,25480.093,25481.045000022277,25496.744,27398.087,
Seq Number,flow.Sequence,1_9,2020-11-29T20:04:52.142Z,,,,,2396.646000029057,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,27396.40500000678,27393.075000029057,24979.742,24994.980000017677,24996.429,27398.087,
Loop Number,flow.Loop,1,2020-11-29T20:04:52.143Z,,,,,19541.803000029056,completion,,,,,,,,,,,,27396.960000041872,27393.075000029057,7801.229,7829.535000026226,7851.272,27398.087,
Interval,html.Page,2,2020-11-29T20:04:55.383Z,,,,,3238.4080000424874,form submission,,,,,,,,,,,,30637.18499999959,30636.495000042487,27381.425,27397.289999993518,27398.087,30654.295,
Fixation Cross,canvas.Screen,3_0_0,2020-11-29T20:04:55.880Z,,,,,496.35699999999997,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,31134.690000035334,31134.012,30616.995,30637.80000002589,30654.295,31150.652,
Stimulus Graph,canvas.Screen,3_0_1,2020-11-29T20:04:56.961Z,,,true,75,1061.3980000310148,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,32215.08500003256,32212.050000031013,31134.012,31135.104999993928,31150.652,32218.074,
Seq Graph,flow.Sequence,3_0,2020-11-29T20:04:56.961Z,,,,,1557.7550000310148,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,32215.83500003908,32212.050000031013,30616.995,30637.71000003908,30654.295,32218.074,
Fixation Cross,canvas.Screen,3_1_0,2020-11-29T20:04:57.448Z,,,,,500.3149999999987,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,32702.530000009574,32701.733,32201.414,32216.345000022557,32218.074,32718.389,
Stimulus Graph,canvas.Screen,3_1_1,2020-11-29T20:04:59.250Z,,,true,93,1783.306000042674,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,34504.59000002593,34501.69500004267,32701.733,32702.970000042114,32718.389,34519.727,
Seq Graph,flow.Sequence,3_1,2020-11-29T20:04:59.251Z,,,,,2283.6210000426727,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,34505.2400000277,34501.69500004267,32201.414,32216.245000017807,32218.074,34519.727,
Fixation Cross,canvas.Screen,3_2_0,2020-11-29T20:04:59.750Z,,,,,500.2870000000039,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,35004.025000031106,35003.345,34502.96,34505.81500004046,34519.727,35020.014,
Stimulus Graph,canvas.Screen,3_2_1,2020-11-29T20:05:00.553Z,,,true,73,783.5960000026607,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,35806.880000047386,35803.61000000266,35003.345,35004.26499999594,35020.014,35820.578,
Seq Graph,flow.Sequence,3_2,2020-11-29T20:05:00.553Z,,,,,1283.8830000026646,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,35807.59000004036,35803.61000000266,34502.96,34505.70500001777,34519.727,35820.578,
Fixation Cross,canvas.Screen,3_3_0,2020-11-29T20:05:01.051Z,,,,,500.29499999999825,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,36305.025000008754,36304.232,35803.923,35808.10500000371,35820.578,36320.873,
Stimulus Graph,canvas.Screen,3_3_1,2020-11-29T20:05:01.976Z,,,true,41,906.857000042357,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,37230.31000001356,37227.73000004236,36304.232,36305.45000004349,36320.873,37238.179,
Seq Graph,flow.Sequence,3_3,2020-11-29T20:05:01.976Z,,,,,1407.1520000423552,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,37230.7500000461,37227.73000004236,35803.923,35807.99500003923,35820.578,37238.179,
Fixation Cross,canvas.Screen,3_4_0,2020-11-29T20:05:02.468Z,,,,,500.3400000000038,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,37722.58000000147,37721.845,37221.508,37231.02500004461,37238.179,37738.519,
Stimulus Graph,canvas.Screen,3_4_1,2020-11-29T20:05:03.228Z,,,false,35,741.3160000055504,response,5.png,35,19.6,17,19,27,0,35,0,click @btnD,11.689311356961968,38482.72500000894,38479.83500000555,37721.845,37722.975000040606,37738.519,38489.046,
Seq Graph,flow.Sequence,3_4,2020-11-29T20:05:03.229Z,,,,,1241.6560000055542,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,38483.44000003999,38479.83500000555,37221.508,37230.964999995194,37238.179,38489.046,
Fixation Cross,canvas.Screen,3_5_0,2020-11-29T20:05:03.719Z,,,,,500.4229999999952,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,38973.54500001529,38972.769,38472.368,38483.94000000553,38489.046,38989.469,
Stimulus Graph,canvas.Screen,3_5_1,2020-11-29T20:05:04.646Z,,,true,58,909.3010000288923,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,39900.665000022855,39898.77000002889,38972.769,38974.04500003904,38989.469,39906.731,
Seq Graph,flow.Sequence,3_5,2020-11-29T20:05:04.647Z,,,,,1409.7240000288875,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,39901.02000004845,39898.77000002889,38472.368,38483.84000000078,38489.046,39906.731,
Fixation Cross,canvas.Screen,3_6_0,2020-11-29T20:05:05.137Z,,,,,500.3989999999976,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,40391.18000003509,40390.39,39890.039,39901.264999993145,39906.731,40407.13,
Stimulus Graph,canvas.Screen,3_6_1,2020-11-29T20:05:06.050Z,,,true,85,895.3050000196163,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,41304.83000003733,41302.435000019614,40390.39,40391.75500004785,40407.13,41307.627,
Seq Graph,flow.Sequence,3_6,2020-11-29T20:05:06.051Z,,,,,1395.7040000196139,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,41305.17500004498,41302.435000019614,39890.039,39901.21999999974,39906.731,41307.627,
Fixation Cross,canvas.Screen,3_7_0,2020-11-29T20:05:06.538Z,,,,,500.4150000000009,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,41792.090000002645,41791.35,41290.997,41305.38999999408,41307.627,41808.042,
Stimulus Graph,canvas.Screen,3_7_1,2020-11-29T20:05:07.413Z,,,true,104,856.0279999988998,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,42666.989999997895,42664.0699999989,41791.35,41792.455000046175,41808.042,42675.249,
Seq Graph,flow.Sequence,3_7,2020-11-29T20:05:07.413Z,,,,,1356.4429999989006,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,42667.740000004414,42664.0699999989,41290.997,41305.35000003874,41307.627,42675.249,
Fixation Cross,canvas.Screen,3_8_0,2020-11-29T20:05:07.905Z,,,,,500.3799999999974,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,43159.685000020545,43158.936,42658.622,42668.27000002377,42675.249,43175.629,
Stimulus Graph,canvas.Screen,3_8_1,2020-11-29T20:05:08.904Z,,,true,76,979.7010000377923,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,44158.235000038985,44155.33000003779,43158.936,43159.97500001686,43175.629,44159.636,
Seq Graph,flow.Sequence,3_8,2020-11-29T20:05:08.905Z,,,,,1480.0810000377896,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,44159.03000003891,44155.33000003779,42658.622,42668.16500003915,42675.249,44159.636,
Fixation Cross,canvas.Screen,3_9_0,2020-11-29T20:05:09.390Z,,,,,500.35199999999895,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,44643.94999999786,44643.286,44143.003,44159.785000025295,44159.636,44659.988,
Stimulus Graph,canvas.Screen,3_9_1,2020-11-29T20:05:10.105Z,,,true,25,697.4219999968918,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,45359.244999999646,45357.40999999689,44643.286,44644.18000000296,44659.988,45360.407,
Seq Graph,flow.Sequence,3_9,2020-11-29T20:05:10.105Z,,,,,1197.7739999968908,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,45359.58000004757,45357.40999999689,44143.003,44159.49500002898,44159.636,45360.407,
Loop Graph,flow.Loop,3,2020-11-29T20:05:10.105Z,,,,,14703.114999996891,completion,,,,,,,,,,,,45359.80999999447,45357.40999999689,30616.995,30637.61000003433,30654.295,45360.407,
Ending,html.Page,4,2020-11-29T20:05:15.383Z,,,,,5277.023000002497,form submission,,,,,,,,,,,,50637.79000000795,50637.430000002496,45343.806,45359.920000017155,45360.407,50647.41,
root,flow.Sequence,,2020-11-29T20:05:15.385Z,,,,,47572.803000002496,completion,,,,,,,,,,,,50639.32499999646,50637.430000002496,2914.537,2922.840000013821,3064.627,50647.41,
