sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T20:15:18.912Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,18725.7880000084,form submission,,,,,,,,,,,,23055.715000024065,23054.8950000084,3662.044,3675.2700000070035,4329.107,23075.335,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T20:15:19.417Z,,,,,500.35699999999997,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,23560.174999991432,23559.038,23042.003,23056.57999997493,23075.335,23575.692,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T20:15:20.898Z,,,true,93,1460.2780000262828,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,25041.139999986626,25035.970000026282,23559.038,23560.699999972712,23575.692,25043.35,
Seq Number,flow.Sequence,1_0,2020-11-29T20:15:20.898Z,,,,,1960.6350000262828,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,25041.51000001002,25035.970000026282,23042.003,23056.50499998592,23075.335,25043.35,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T20:15:21.384Z,,,,,500.3760000000002,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,25528.01000000909,25527.105,25026.719,25041.71000001952,25043.35,25543.726,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T20:15:23.150Z,,,true,41,1746.9689999742222,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,27293.67500002263,27290.69499997422,25527.105,25528.295000025537,25543.726,27295.064,
Seq Number,flow.Sequence,1_1,2020-11-29T20:15:23.151Z,,,,,2247.3449999742224,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,27294.519999995828,27290.69499997422,25026.719,25041.65999998804,25043.35,27295.064,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T20:15:23.636Z,,,,,500.19100000000253,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,27779.220000025816,27778.613,27278.223,27296.205000020564,27295.064,27795.255,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T20:15:25.127Z,,,true,76,1473.370000026076,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,29270.490000024438,29268.625000026077,27778.613,27779.529999999795,27795.255,29279.605,
Seq Number,flow.Sequence,1_2,2020-11-29T20:15:25.127Z,,,,,1973.5610000260785,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,29271.034999983385,29268.625000026077,27278.223,27296.020000008866,27295.064,29279.605,
