sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T20:37:02.327Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,25599.19399998972,form submission,,,,,,,,,,,,27985.96499999985,27984.70999998972,2335.498,2328.8449999527074,2385.516,28019.842,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T20:37:02.846Z,,,,,500.35699999999997,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,28505.034999980126,28503.596,27969.82,27987.47499997262,28019.842,28520.199,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T20:37:04.771Z,,,true,41,1906.3159999991985,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,30429.834999958985,30426.5149999992,28503.596,28505.47999999253,28520.199,30438.206,
Seq Number,flow.Sequence,1_0,2020-11-29T20:37:04.771Z,,,,,2406.6729999991985,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,30430.409999971744,30426.5149999992,27969.82,27987.3249999946,28019.842,30438.206,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T20:37:05.264Z,,,,,500.3230000000003,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,30922.759999986738,30921.918,30421.495,30430.724999983795,30438.206,30938.529,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T20:37:06.941Z,,,true,73,1658.4409999550371,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,32600.124999997206,32596.969999955036,30921.918,30923.294999985956,30938.529,32606.321,
Seq Number,flow.Sequence,1_1,2020-11-29T20:37:06.942Z,,,,,2158.7639999550374,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,32600.749999983236,32596.969999955036,30421.495,30430.65499997465,30438.206,32606.321,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T20:37:07.432Z,,,,,500.38600000000224,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,33090.84499999881,33090.052,32589.639,32601.169999979902,32606.321,33106.707,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T20:37:09.231Z,,,true,75,1780.047999984985,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,34889.69999999972,34886.75499998499,33090.052,33091.41999995336,33106.707,34891.251,
Seq Number,flow.Sequence,1_2,2020-11-29T20:37:09.231Z,,,,,2280.433999984987,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,34890.214999963064,34886.75499998499,32589.639,32601.11499996856,32606.321,34891.251,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T20:37:09.716Z,,,,,500.3660000000018,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,35375.63500000397,35374.962,34874.572,34890.48999996157,34891.251,35391.617,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T20:37:12.458Z,,,true,93,2723.14800000572,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,38117.67000000691,38114.76500000572,35374.962,35375.86499995086,35391.617,38127.153,
Seq Number,flow.Sequence,1_3,2020-11-29T20:37:12.459Z,,,,,3223.5140000057218,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,38118.399999977555,38114.76500000572,34874.572,34890.4399999883,34891.251,38127.153,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T20:37:12.952Z,,,,,500.03199999999924,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,38611.23499996029,38610.542,38110.129,38118.8700000057,38127.153,38627.185,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T20:37:15.379Z,,,true,85,2408.3549999534735,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,41037.99499996239,41035.53999995347,38610.542,38611.470000003465,38627.185,41045.462,
Seq Number,flow.Sequence,1_4,2020-11-29T20:37:15.379Z,,,,,2908.3869999534727,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,41038.43499999493,41035.53999995347,38110.129,38118.774999980815,38127.153,41045.462,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T20:37:15.871Z,,,,,500.37600000000384,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,41529.85999995144,41529.204,41028.829,41038.684999977704,41045.462,41545.838,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T20:37:17.609Z,,,true,58,1719.8369999732677,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,43268.45999999205,43265.67499997327,41529.204,41530.089999956544,41545.838,43280.363,
Seq Number,flow.Sequence,1_5,2020-11-29T20:37:17.610Z,,,,,2220.2129999732715,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,43269.2349999561,43265.67499997327,41028.829,41038.6399999843,41045.462,43280.363,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T20:37:18.106Z,,,,,500.3130000000019,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,43764.72499995725,43764.079,43263.718,43269.70000000438,43280.363,43780.676,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T20:37:19.878Z,,,true,35,1753.7189999660259,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,45537.164999987,45534.394999966025,43764.079,43765.08499996271,43780.676,45548.579,
Seq Number,flow.Sequence,1_6,2020-11-29T20:37:19.879Z,,,,,2254.031999966028,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,45537.834999966435,45534.394999966025,43263.718,43269.60499997949,43280.363,45548.579,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T20:37:20.374Z,,,,,500.31200000000536,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,46032.695000001695,46032.235,45531.946,45538.09499996714,45548.579,46048.891,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T20:37:21.390Z,,,true,25,998.0189999754657,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,47049.45999995107,47046.90999997547,46032.235,46032.92999998666,46048.891,47049.603,
Seq Number,flow.Sequence,1_7,2020-11-29T20:37:21.391Z,,,,,1498.330999975471,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,47050.62999995425,47046.90999997547,45531.946,45538.04999997374,45548.579,47049.603,
Fixation Cross,canvas.Screen,1_8_0,2020-11-29T20:37:21.875Z,,,,,500.375,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,47534.12500000559,47533.356,47032.906,47050.9149999707,47049.603,47549.978,
Stimulus Number,canvas.Screen,1_8_1,2020-11-29T20:37:22.913Z,,,true,104,1020.2069999604719,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,48572.64500000747,48570.184999960475,47533.356,47534.834999998566,47549.978,48584.039,
Seq Number,flow.Sequence,1_8,2020-11-29T20:37:22.914Z,,,,,1520.5819999604719,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,48573.04499996826,48570.184999960475,47032.906,47050.869999977294,47049.603,48584.039,
Fixation Cross,canvas.Screen,1_9_0,2020-11-29T20:37:23.409Z,,,,,500.4140000000043,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,49068.609999958426,49067.763,48567.383,48573.30499996897,48584.039,49084.453,
Stimulus Number,canvas.Screen,1_9_1,2020-11-29T20:37:24.784Z,,,true,76,1356.206999963826,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,50443.07499995921,50440.65999996383,49067.763,49069.01499995729,49084.453,50451.968,
Seq Number,flow.Sequence,1_9,2020-11-29T20:37:24.784Z,,,,,1856.6209999638304,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,50443.51999997161,50440.65999996383,48567.383,48573.2549999957,48584.039,50451.968,
Loop Number,flow.Loop,1,2020-11-29T20:37:24.785Z,,,,,22420.817999963827,completion,,,,,,,,,,,,50444.11499996204,50440.65999996383,27969.82,27987.189999956172,28019.842,50451.968,
Interval,html.Page,2,2020-11-29T20:37:37.530Z,,,,,12738.32199999864,form submission,,,,,,,,,,,,63190.65999996383,63190.28999999864,50435.286,50444.44999995176,50451.968,63194.038,
Fixation Cross,canvas.Screen,3_0_0,2020-11-29T20:37:38.018Z,,,,,500.4029999999984,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,63678.58000000706,63677.822,63177.331,63191.019999969285,63194.038,63694.441,
Stimulus Graph,canvas.Screen,3_0_1,2020-11-29T20:37:38.991Z,,,true,104,954.8990000035774,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,64651.714999985415,64649.340000003576,63677.822,63678.94499999238,63694.441,64661.734,
Seq Graph,flow.Sequence,3_0,2020-11-29T20:37:38.991Z,,,,,1455.3020000035758,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,64652.11999998428,64649.340000003576,63177.331,63190.97499997588,63194.038,64661.734,
Fixation Cross,canvas.Screen,3_1_0,2020-11-29T20:37:39.485Z,,,,,500.33899999999994,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,65146.27999998629,65145.457,64645.117,64652.37999998499,64661.734,65162.073,
Stimulus Graph,canvas.Screen,3_1_1,2020-11-29T20:37:40.377Z,,,true,73,873.5819999560263,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,66037.95500000706,66035.65499995602,65145.457,65146.5249999892,65162.073,66046.132,
Seq Graph,flow.Sequence,3_1,2020-11-29T20:37:40.377Z,,,,,1373.9209999560262,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,66038.39499998139,66035.65499995602,64645.117,64652.32999995351,64661.734,66046.132,
Fixation Cross,canvas.Screen,3_2_0,2020-11-29T20:37:40.869Z,,,,,500.2670000000071,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,66530.51999997115,66529.738,66029.353,66038.6549999821,66046.132,66546.399,
Stimulus Graph,canvas.Screen,3_2_1,2020-11-29T20:37:41.856Z,,,false,35,968.0609999766748,response,5.png,35,19.6,17,19,27,0,35,0,click @btnD,11.689311356961968,67517.28499995079,67514.45999997668,66529.738,66531.05999995023,66546.399,67530.419,
Seq Graph,flow.Sequence,3_2,2020-11-29T20:37:41.857Z,,,,,1468.327999976682,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,67518.01499997964,67514.45999997668,66029.353,66038.60499995062,66046.132,67530.419,
Fixation Cross,canvas.Screen,3_3_0,2020-11-29T20:37:42.354Z,,,,,500.33200000000943,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,68014.70999995945,68014.072,67514.007,67518.27499998035,67530.419,68030.751,
Stimulus Graph,canvas.Screen,3_3_1,2020-11-29T20:37:44.318Z,,,true,93,1946.2839999889693,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,69979.2899999884,69977.03499998897,68014.072,68015.02999995137,68030.751,69982.075,
Seq Graph,flow.Sequence,3_3,2020-11-29T20:37:44.319Z,,,,,2446.6159999889787,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,69979.720000003,69977.03499998897,67514.007,67518.22500000708,67530.419,69982.075,
Fixation Cross,canvas.Screen,3_4_0,2020-11-29T20:37:44.806Z,,,,,500.4180000000051,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,70466.54499997385,70465.79,69965.4,69979.97499996563,69982.075,70482.493,
Stimulus Graph,canvas.Screen,3_4_1,2020-11-29T20:37:45.740Z,,,true,76,915.8070000007428,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,71400.72499995586,71398.30000000075,70465.79,70466.98999998625,70482.493,71416.426,
Seq Graph,flow.Sequence,3_4,2020-11-29T20:37:45.740Z,,,,,1416.225000000748,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,71401.12999995472,71398.30000000075,69965.4,69979.92999997223,69982.075,71416.426,
Fixation Cross,canvas.Screen,3_5_0,2020-11-29T20:37:46.240Z,,,,,500.3399999999965,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,71900.78999998514,71900.099,71399.779,71401.3799999957,71416.426,71916.766,
Stimulus Graph,canvas.Screen,3_5_1,2020-11-29T20:37:46.982Z,,,true,75,723.2539999916335,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,72642.57999998517,72640.01999999164,71900.099,71901.06499998365,71916.766,72650.703,
Seq Graph,flow.Sequence,3_5,2020-11-29T20:37:46.982Z,,,,,1223.59399999163,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,72643.01499997964,72640.01999999164,71399.779,71401.32999996422,71416.426,72650.703,
Fixation Cross,canvas.Screen,3_6_0,2020-11-29T20:37:47.474Z,,,,,500.2420000000129,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,73135.1249999716,73134.306,72633.93,72643.27499998035,72650.703,73150.945,
Stimulus Graph,canvas.Screen,3_6_1,2020-11-29T20:37:48.284Z,,,true,41,791.214999976859,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,73944.70999995247,73942.15999997687,73134.306,73135.6149999774,73150.945,73951.476,
Seq Graph,flow.Sequence,3_6,2020-11-29T20:37:48.284Z,,,,,1291.4569999768719,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,73945.38999994984,73942.15999997687,72633.93,72643.22500000708,72650.703,73951.476,
Fixation Cross,canvas.Screen,3_7_0,2020-11-29T20:37:48.775Z,,,,,500.3790000000008,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,74436.10499997158,74435.194,73934.846,73945.87999995565,73951.476,74451.855,
Stimulus Graph,canvas.Screen,3_7_1,2020-11-29T20:37:49.535Z,,,true,25,741.9750000038039,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,75196.1799999699,75193.8300000038,74435.194,74436.699999962,74451.855,75202.299,
Seq Graph,flow.Sequence,3_7,2020-11-29T20:37:49.536Z,,,,,1242.3540000038047,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,75196.5799999889,75193.8300000038,73934.846,73945.79999998678,73951.476,75202.299,
Fixation Cross,canvas.Screen,3_8_0,2020-11-29T20:37:50.026Z,,,,,500.400999999998,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,75686.75499997335,75686.052,75185.731,75196.83499995153,75202.299,75702.7,
Stimulus Graph,canvas.Screen,3_8_1,2020-11-29T20:37:50.902Z,,,true,85,857.4899999892368,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,76562.73999996483,76560.18999998923,75686.052,75687.10999999894,75702.7,76569.931,
Seq Graph,flow.Sequence,3_8,2020-11-29T20:37:50.902Z,,,,,1357.8909999892348,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,76563.19499999518,76560.18999998923,75185.731,75196.77499996033,75202.299,76569.931,
Fixation Cross,canvas.Screen,3_9_0,2020-11-29T20:37:51.393Z,,,,,500.36500000000524,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,77054.26999996416,77053.645,76553.283,76563.5299999849,76569.931,77070.296,
Stimulus Graph,canvas.Screen,3_9_1,2020-11-29T20:37:52.121Z,,,true,58,709.2040000041889,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,77782.05499995966,77779.50000000419,77053.645,77054.50500000734,77070.296,77787.434,
Seq Graph,flow.Sequence,3_9,2020-11-29T20:37:52.121Z,,,,,1209.569000004194,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,77782.4949999922,77779.50000000419,76553.283,76563.47999995342,76569.931,77787.434,
Loop Graph,flow.Loop,3,2020-11-29T20:37:52.122Z,,,,,14585.46200000419,completion,,,,,,,,,,,,77782.74999995483,77779.50000000419,63177.331,63190.91499998467,63194.038,77787.434,
Ending,html.Page,4,2020-11-29T20:38:00.173Z,,,,,8046.100999983391,form submission,,,,,,,,,,,,85833.8549999753,85833.53499998339,77770.836,77782.88499999326,77787.434,85842.986,
root,flow.Sequence,,2020-11-29T20:38:00.174Z,,,,,83448.01899998338,completion,,,,,,,,,,,,85834.88999999827,85833.53499998339,2335.498,2328.559999994468,2385.516,85842.986,
