sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T21:01:43.829Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,19655.570999973123,form submission,,,,,,,,,,,,21877.444999990985,21876.639999973122,2137.699,2141.204999992624,2221.069,21901.303,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T21:01:44.338Z,,,,,500.3640000000014,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,22386.179999972228,22385.008,21867.898,21878.154999983963,21901.303,22401.667,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T21:01:47.700Z,,,true,73,3340.638000021587,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,25748.079999990296,25742.305000021588,22385.008,22386.524999979883,22401.667,25754.001,
Seq Number,flow.Sequence,1_0,2020-11-29T21:01:47.701Z,,,,,3841.002000021588,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,25748.689999978524,25742.305000021588,21867.898,21878.079999994952,21901.303,25754.001,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T21:01:48.191Z,,,,,500.2920000000013,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,26238.78999997396,26237.78,25737.22,25749.019999988377,25754.001,26254.293,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T21:01:49.607Z,,,true,25,1398.817000013838,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,27654.87500000745,27653.11000001384,26237.78,26239.140000019688,26254.293,27674.059,
Seq Number,flow.Sequence,1_1,2020-11-29T21:01:49.607Z,,,,,1899.1090000138392,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,27655.27500002645,27653.11000001384,25737.22,25748.940000019502,25754.001,27674.059,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T21:01:50.108Z,,,,,498.36099999999715,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,28156.4650000073,28155.731,27638.652,27655.764999974053,27674.059,28172.42,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T21:01:52.536Z,,,true,93,2409.460000012463,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,30584.020000009332,30581.88000001246,28155.731,28156.744999985676,28172.42,30590.654,
Seq Number,flow.Sequence,1_2,2020-11-29T21:01:52.536Z,,,,,2907.82100001246,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,30584.585000004154,30581.88000001246,27638.652,27655.680000025313,27674.059,30590.654,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T21:01:53.027Z,,,,,500.362000000001,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,31075.13499999186,31074.336,30574.041,30584.93000001181,30590.654,31091.016,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T21:01:54.506Z,,,true,85,1461.1239999852296,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,32554.189999995288,32552.13999998523,31074.336,31075.539999990724,31091.016,32558.715,
Seq Number,flow.Sequence,1_3,2020-11-29T21:01:54.507Z,,,,,1961.4859999852306,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,32554.684999980964,32552.13999998523,30574.041,30584.8550000228,30590.654,32558.715,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T21:01:54.995Z,,,,,500.2440000000024,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,33042.90499998024,33042.282,32542.065,32555.059999984223,32558.715,33058.959,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T21:01:56.899Z,,,true,76,1885.4959999898274,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,34947.60999997379,34944.45499998983,33042.282,33043.230000010226,33058.959,34960.33,
Seq Number,flow.Sequence,1_4,2020-11-29T21:01:56.900Z,,,,,2385.73999998983,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,34948.0549999862,34944.45499998983,32542.065,32554.989999975078,32558.715,34960.33,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T21:01:57.397Z,,,,,500.3070000000007,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,35444.78999997955,35444.035,34943.587,34948.33500002278,34960.33,35460.637,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T21:01:58.720Z,,,true,104,1304.5380000077275,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,36767.7300000214,36765.17500000773,35444.035,35445.04500000039,35460.637,36778.194,
Seq Number,flow.Sequence,1_5,2020-11-29T21:01:58.720Z,,,,,1804.8450000077282,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,36768.15000001807,36765.17500000773,34943.587,34948.28000001144,34960.33,36778.194,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T21:01:59.214Z,,,,,500.36299999999756,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,37262.4599999981,37261.869,36761.524,36768.3899999829,36778.194,37278.557,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T21:02:01.401Z,,,true,41,2167.622999969899,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,39449.45999997435,39446.1799999699,37261.869,37262.69499998307,37278.557,39463.527,
Seq Number,flow.Sequence,1_6,2020-11-29T21:02:01.402Z,,,,,2667.9859999698965,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,39450.20000002114,39446.1799999699,36761.524,36768.344999989495,36778.194,39463.527,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T21:02:01.900Z,,,,,500.2129999999961,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,39947.75499997195,39947.062,39446.738,39450.714999984484,39463.527,39963.74,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T21:02:03.590Z,,,true,35,1672.5099999813756,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,41638.57999996981,41636.24999998137,39947.062,39947.98499997705,39963.74,41648.198,
Seq Number,flow.Sequence,1_7,2020-11-29T21:02:03.591Z,,,,,2172.7229999813717,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,41639.00000002468,41636.24999998137,39446.738,39450.62000001781,39463.527,41648.198,
Fixation Cross,canvas.Screen,1_8_0,2020-11-29T21:02:04.084Z,,,,,500.4279999999999,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,42132.57000001613,42131.925,41631.545,41639.254999987315,41648.198,42148.626,
Stimulus Number,canvas.Screen,1_8_1,2020-11-29T21:02:06.040Z,,,true,58,1937.4040000058521,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,44088.60999997705,44086.03000000585,42131.925,42132.900000025984,42148.626,44099.93,
Seq Number,flow.Sequence,1_8,2020-11-29T21:02:06.041Z,,,,,2437.832000005852,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,44089.02999997372,44086.03000000585,41631.545,41639.20999999391,41648.198,44099.93,
Fixation Cross,canvas.Screen,1_9_0,2020-11-29T21:02:06.536Z,,,,,500.3159999999989,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,44584.15499998955,44583.605,44083.258,44089.28499999456,44099.93,44600.246,
Stimulus Number,canvas.Screen,1_9_1,2020-11-29T21:02:08.124Z,,,true,75,1569.7740000195772,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,46172.5050000241,46170.02000001958,44583.605,44584.384999994654,44600.246,46184.691,
Seq Number,flow.Sequence,1_9,2020-11-29T21:02:08.125Z,,,,,2070.090000019576,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,46173.245000012685,46170.02000001958,44083.258,44089.240000001155,44099.93,46184.691,
Loop Number,flow.Loop,1,2020-11-29T21:02:08.126Z,,,,,24268.717000019577,completion,,,,,,,,,,,,46173.895000014454,46170.02000001958,21867.898,21878.009999985807,21901.303,46184.691,
Interval,html.Page,2,2020-11-29T21:02:22.988Z,,,,,14850.979000012034,form submission,,,,,,,,,,,,61036.260000022594,61035.67000001203,46168.039,46174.27499999758,46184.691,61044.911,
Fixation Cross,canvas.Screen,3_0_0,2020-11-29T21:02:23.481Z,,,,,500.3580000000002,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,61529.28499999689,61528.664,61028.102,61036.87499999069,61044.911,61545.269,
Stimulus Graph,canvas.Screen,3_0_1,2020-11-29T21:02:25.693Z,,,true,58,2193.4759999805538,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,63741.259999980684,63738.744999980554,61528.664,61529.52500001993,61545.269,63746.749,
Seq Graph,flow.Sequence,3_0,2020-11-29T21:02:25.693Z,,,,,2693.833999980554,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,63741.65999999968,63738.744999980554,61028.102,61036.77499998594,61044.911,63746.749,
Fixation Cross,canvas.Screen,3_1_0,2020-11-29T21:02:26.183Z,,,,,500.4029999999984,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,64231.14500002703,64230.477,63730.106,63741.909999982454,63746.749,64247.152,
Stimulus Graph,canvas.Screen,3_1_1,2020-11-29T21:02:27.845Z,,,true,76,1643.7430000186432,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,65893.57999997446,65890.89500001865,64230.477,64231.38499999186,64247.152,65898.256,
Seq Graph,flow.Sequence,3_1,2020-11-29T21:02:27.846Z,,,,,2144.1460000186416,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,65894.27499996964,65890.89500001865,63730.106,63741.85499997111,63746.749,65898.256,
Fixation Cross,canvas.Screen,3_2_0,2020-11-29T21:02:28.334Z,,,,,500.32600000000093,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,66382.55500001833,66381.971,65881.588,65894.80499998899,65898.256,66398.582,
Stimulus Graph,canvas.Screen,3_2_1,2020-11-29T21:02:32.260Z,,,true,93,3907.722999976424,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,70308.69500001427,70306.30499997642,66381.971,66382.79499998316,66398.582,70317.94,
Seq Graph,flow.Sequence,3_2,2020-11-29T21:02:32.261Z,,,,,4408.048999976425,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,70309.08500001533,70306.30499997642,65881.588,65894.71500000218,65898.256,70317.94,
Fixation Cross,canvas.Screen,3_3_0,2020-11-29T21:02:32.754Z,,,,,500.3709999999992,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,70802.3449999746,70801.655,70301.277,70309.33000001824,70317.94,70818.311,
Stimulus Graph,canvas.Screen,3_3_1,2020-11-29T21:02:33.606Z,,,true,41,832.4939999829367,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,71654.3899999815,71650.80499998294,70801.655,70802.72999999579,70818.311,71668.938,
