sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T21:19:53.754Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,35970.055999989105,form submission,,,,,,,,,,,,38323.96999996854,38323.2999999891,2269.838,2269.770000013523,2353.244,38344.66,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T21:19:54.260Z,,,,,500.390999999996,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,38829.96000000276,38828.422,38311.318,38324.51000000583,38344.66,38845.051,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T21:19:56.741Z,,,true,35,2463.683999969602,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,41311.16500002099,41308.7349999696,38828.422,38830.55000001332,38845.051,41331.695,
Seq Number,flow.Sequence,1_0,2020-11-29T21:19:56.742Z,,,,,2964.074999969598,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,41312.13500001468,41308.7349999696,38311.318,38324.465000012424,38344.66,41331.695,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T21:19:57.245Z,,,,,498.7350000000006,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,41814.57499996759,41813.805,41296.762,41312.745000002906,41331.695,41830.43,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T21:20:00.613Z,,,true,41,3349.9899999896807,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,45182.79499997152,45180.41999998968,41813.805,41814.97499998659,41830.43,45201.24,
Seq Number,flow.Sequence,1_1,2020-11-29T21:20:00.614Z,,,,,3848.7249999896812,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,45183.2750000176,45180.41999998968,41296.762,41312.604999984615,41331.695,45201.24,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T21:20:01.114Z,,,,,498.49000000000524,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,45683.84999997215,45683.069,45166.077,45183.84499999229,45201.24,45699.73,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T21:20:03.186Z,,,true,76,2053.064999978502,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,47755.89500000933,47752.794999978505,45683.069,45684.26000000909,45699.73,47767.864,
Seq Number,flow.Sequence,1_2,2020-11-29T21:20:03.187Z,,,,,2551.554999978507,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,47756.84499996714,47752.794999978505,45166.077,45183.780000021216,45201.24,47767.864,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T21:20:03.683Z,,,,,500.3580000000002,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,48252.244999981485,48251.548,47751.13,47757.374999986496,47767.864,48268.222,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T21:20:05.436Z,,,true,73,1734.177999997577,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,50005.30499999877,50002.39999999758,48251.548,48252.64999998035,48268.222,50019.438,
Seq Number,flow.Sequence,1_3,2020-11-29T21:20:05.436Z,,,,,2234.535999997577,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,50005.84499997785,50002.39999999758,47751.13,47757.31999997515,47767.864,50019.438,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T21:20:05.934Z,,,,,500.2809999999954,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,50503.894999972545,50503.08,50002.696,50006.099999998696,50019.438,50519.719,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T21:20:07.176Z,,,true,25,1223.4560000105266,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,51745.54999999236,51743.175000010524,50503.08,50504.409999994095,50519.719,51753.917,
Seq Number,flow.Sequence,1_4,2020-11-29T21:20:07.176Z,,,,,1723.737000010522,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,51745.95499999123,51743.175000010524,50002.696,50006.04999996722,50019.438,51753.917,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T21:20:07.669Z,,,,,500.3220000000001,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,52238.4299999685,52237.644,51737.291,51746.204999974,51753.917,52254.239,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T21:20:09.496Z,,,false,75,1808.9009999838308,response,3.png,75,45.6,56,28,27,75,42,56,click @btnA,18.11739495622922,54065.75999996858,54063.13999998383,52237.644,52238.8149999897,52254.239,54072.152,
Seq Number,flow.Sequence,1_5,2020-11-29T21:20:09.497Z,,,,,2309.222999983831,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,54066.43999996595,54063.13999998383,51737.291,51746.15500000073,51753.917,54072.152,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T21:20:09.987Z,,,,,500.4320000000007,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,54556.53499998152,54555.891,54055.537,54066.91499997396,54072.152,54572.584,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T21:20:11.842Z,,,true,85,1836.8809999751684,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,56411.825000017416,56409.46499997517,54555.891,54556.90500000492,54572.584,56423.816,
Seq Number,flow.Sequence,1_6,2020-11-29T21:20:11.843Z,,,,,2337.312999975169,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,56412.25499997381,56409.46499997517,54055.537,54066.835000005085,54072.152,56423.816,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T21:20:12.339Z,,,,,500.3689999999988,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,56908.20000000531,56907.529,56407.125,56412.49499999685,56423.816,56924.185,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T21:20:14.025Z,,,true,58,1667.930000006745,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,58594.84999999404,58592.11500000674,56907.529,56908.545000012964,56924.185,58608.678,
