sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T21:38:30.507Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,183613.63499998464,form submission,,,,,,,,,,,,186586.30500000436,186585.64499998465,2788.557,2803.8049999740906,2972.01,186600.569,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T21:38:31.007Z,,,,,500.35599999999977,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,187085.82499995828,187084.267,186583.912,186586.68499998748,186600.569,187100.925,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T21:38:32.657Z,,,false,75,1632.6849999956903,response,3.png,75,45.6,56,28,27,75,42,56,click @btnA,18.11739495622922,188735.560000001,188733.60999999568,187084.267,187086.4350000047,187100.925,188752.068,
Seq Number,flow.Sequence,1_0,2020-11-29T21:38:32.658Z,,,,,2133.04099999569,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,188736.54499999247,188733.60999999568,186583.912,186586.634999956,186600.569,188752.068,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T21:38:33.158Z,,,,,500.3379999999888,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,189236.7249999661,189235.821,188735.425,188736.91999999573,188752.068,189252.406,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T21:38:34.528Z,,,true,25,1353.2390000032901,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,190606.7949999706,190605.64500000328,189235.821,189237.1549999807,189252.406,190620.057,
Seq Number,flow.Sequence,1_1,2020-11-29T21:38:34.528Z,,,,,1853.577000003279,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,190607.24499996286,190605.64500000328,188735.425,188736.8499999866,188752.068,190620.057,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T21:38:35.026Z,,,,,500.34599999999045,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,191104.720000003,191103.73,190603.406,190607.5149999815,190620.057,191120.403,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T21:38:36.387Z,,,true,35,1344.2469999798923,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,192465.77999996953,192464.64999997988,191103.73,191105.05499999272,191120.403,192471.302,
Seq Number,flow.Sequence,1_2,2020-11-29T21:38:36.387Z,,,,,1844.5929999798827,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,192466.2599999574,192464.64999997988,190603.406,190607.46500000823,190620.057,192471.302,
