sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T21:54:36.714Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,300738.6379999703,form submission,,,,,,,,,,,,303286.6749999812,303285.9549999703,2363.941,2358.204999996815,2547.317,303335.019,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T21:54:37.247Z,,,,,500.3880000000354,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,303820.00499998685,303818.764,303268.346,303287.3049999471,303335.019,303835.407,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T21:54:39.992Z,,,true,85,2725.6179999444867,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,306564.1149999574,306561.0249999445,303818.764,303820.34499995643,303835.407,306570.599,
Seq Number,flow.Sequence,1_0,2020-11-29T21:54:39.992Z,,,,,3226.005999944522,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,306564.7599999793,306561.0249999445,303268.346,303287.23499999614,303335.019,306570.599,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T21:54:40.483Z,,,,,500.3269999999902,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,307055.05499994615,307054.309,306553.885,306565.094999969,306570.599,307070.926,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T21:54:42.239Z,,,true,41,1739.1839999621734,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,308811.8199999444,308810.10999996215,307054.309,307055.2899999893,307070.926,308822.12,
Seq Number,flow.Sequence,1_1,2020-11-29T21:54:42.240Z,,,,,2239.5109999621636,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,308812.0949999429,308810.10999996215,306553.885,306565.01999998,306570.599,308822.12,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T21:54:42.734Z,,,,,500.41700000001583,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,309306.54499999946,309305.861,308805.558,308812.2549999971,308822.12,309322.537,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T21:54:43.795Z,,,true,25,1041.6579999728128,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,310367.50999995274,310364.1949999728,309305.861,309306.80999998003,309322.537,310373.313,
Seq Number,flow.Sequence,1_2,2020-11-29T21:54:43.796Z,,,,,1542.0749999728287,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,310368.0099999765,310364.1949999728,308805.558,308812.2249999433,308822.12,310373.313,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T21:54:44.285Z,,,,,500.2719999999972,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,310857.6199999661,310856.893,310356.632,310368.28999995487,310373.313,310873.585,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T21:54:45.585Z,,,true,58,1281.289999949222,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,312157.3549999739,312154.87499994924,310856.893,310858.04499994265,310873.585,312157.79,
Seq Number,flow.Sequence,1_3,2020-11-29T21:54:45.586Z,,,,,1781.5619999492192,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,312158.26999995625,312154.87499994924,310356.632,310368.2349999435,310373.313,312157.79,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T21:54:46.070Z,,,,,500.32300000003306,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,312642.194999964,312641.484,312141.093,312158.6499999976,312157.79,312658.113,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T21:54:47.096Z,,,true,104,1007.7369999903021,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,313668.1399999652,313665.8499999903,312641.484,312642.45999994455,312658.113,313675.563,
Seq Number,flow.Sequence,1_4,2020-11-29T21:54:47.096Z,,,,,1508.0599999903352,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,313668.54499996407,313665.8499999903,312141.093,312158.5999999661,312157.79,313675.563,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T21:54:47.587Z,,,,,500.23399999999674,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,314159.9399999832,314159.226,313658.846,313668.79499994684,313675.563,314175.797,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T21:54:49.228Z,,,true,73,1622.5529999972787,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,315800.7149999612,315798.3499999973,314159.226,314160.15999997035,314175.797,315810.455,
Seq Number,flow.Sequence,1_5,2020-11-29T21:54:49.229Z,,,,,2122.7869999972754,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,315801.4499999699,315798.3499999973,313658.846,313668.74499997357,313675.563,315810.455,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T21:54:49.722Z,,,,,500.17699999996694,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,316294.7999999742,316294.034,315793.654,315801.9599999534,315810.455,316310.632,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T21:54:51.219Z,,,true,75,1478.2329999513458,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,317791.9149999507,317788.8649999513,316294.034,316295.23499996867,316310.632,317795.009,
Seq Number,flow.Sequence,1_6,2020-11-29T21:54:51.220Z,,,,,1978.4099999513128,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,317792.6999999909,317788.8649999513,315793.654,315801.8549999688,315810.455,317795.009,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T21:54:51.707Z,,,,,500.31199999997625,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,318279.36999994563,318278.698,317778.335,317793.23999996996,317795.009,318295.321,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T21:54:52.782Z,,,true,35,1056.4489999501966,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,319354.4099999708,319351.7699999502,318278.698,318279.6199999866,318295.321,319362.761,
Seq Number,flow.Sequence,1_7,2020-11-29T21:54:52.783Z,,,,,1556.7609999501728,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,319355.1149999839,319351.7699999502,317778.335,317793.14499994507,317795.009,319362.761,
Fixation Cross,canvas.Screen,1_8_0,2020-11-29T21:54:53.275Z,,,,,500.39100000000326,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,319847.1599999466,319846.449,319346.045,319355.5949999718,319362.761,319863.152,
Stimulus Number,canvas.Screen,1_8_1,2020-11-29T21:54:54.573Z,,,true,93,1279.7379999591503,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,321145.2349999454,321142.88999995915,319846.449,319847.6249999949,319863.152,321147.289,
Seq Number,flow.Sequence,1_8,2020-11-29T21:54:54.573Z,,,,,1780.1289999591536,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,321145.6349999644,321142.88999995915,319346.045,319355.50999996485,319362.761,321147.289,
Fixation Cross,canvas.Screen,1_9_0,2020-11-29T21:54:55.059Z,,,,,500.37200000003213,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,321631.6549999756,321630.999,321130.625,321145.8799999673,321147.289,321647.661,
Stimulus Number,canvas.Screen,1_9_1,2020-11-29T21:54:56.606Z,,,true,76,1528.6739999673446,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,323178.7899999763,323176.33499996737,321630.999,321632.11999996565,321647.661,323182.052,
Seq Number,flow.Sequence,1_9,2020-11-29T21:54:56.607Z,,,,,2029.0459999673767,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,323179.4199999422,323176.33499996737,321130.625,321145.8349999739,321147.289,323182.052,
Loop Number,flow.Loop,1,2020-11-29T21:54:56.608Z,,,,,19841.315999967395,completion,,,,,,,,,,,,323180.0199999707,323176.33499996737,303268.346,303287.1499999892,303335.019,323182.052,
