sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T22:10:44.920Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,36063.7800000057,form submission,,,,,,,,,,,,37963.22999999393,37962.6200000057,1848.82,1859.1949999681674,1898.84,37990.347,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T22:10:45.432Z,,,,,500.3439999999973,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,38475.11499997927,38474.038,37957.112,37963.90500001144,37990.347,38490.691,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T22:10:48.947Z,,,true,58,3495.7490000078615,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,41990.36499997601,41986.44000000786,38474.038,38475.54999997374,38490.691,42011.795,
Seq Number,flow.Sequence,1_0,2020-11-29T22:10:48.948Z,,,,,3996.093000007859,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,41991.27999995835,41986.44000000786,37957.112,37963.75499997521,37990.347,42011.795,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T22:10:49.451Z,,,,,498.3550000000032,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,42494.23499999102,42493.471,41976.479,41991.89000000479,42011.795,42510.15,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T22:10:51.868Z,,,true,41,2400.47999999849,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,44911.785000003874,44910.62999999849,42493.471,42494.60499995621,42510.15,44928.465,
Seq Number,flow.Sequence,1_1,2020-11-29T22:10:51.869Z,,,,,2898.834999998493,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,44912.519999954384,44910.62999999849,41976.479,41991.73999996856,42011.795,44928.465,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T22:10:52.369Z,,,,,500.4279999999999,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,45412.73999999976,45412.15,44911.838,44912.80499997083,44928.465,45428.893,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T22:10:54.024Z,,,true,76,1637.4769999568089,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,47067.50499998452,47066.369999956805,45412.15,45413.04999997374,45428.893,47080.018,
Seq Number,flow.Sequence,1_2,2020-11-29T22:10:54.025Z,,,,,2137.9049999568088,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,47068.0299999658,47066.369999956805,44911.838,44912.75499999756,44928.465,47080.018,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T22:10:54.521Z,,,,,500.24900000000343,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,47564.27999999141,47563.652,47063.28,47068.29500000458,47080.018,47580.267,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T22:10:56.380Z,,,true,75,1842.0530000124054,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,49423.39999997057,49422.320000012405,47563.652,47564.494999998715,47580.267,49431.553,
