sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T22:30:27.823Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,120505.63300000552,form submission,,,,,,,,,,,,122598.73500000685,122597.42000000551,2058.447,2048.3600000152364,2091.787,122650.424,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T22:30:28.360Z,,,,,500.28800000000047,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,123135.17000002321,123134.06,122583.685,122599.77000002982,122650.424,123150.712,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T22:30:29.549Z,,,true,104,1170.963000013784,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,124324.47500003036,124321.67500001378,123134.06,123135.72000002023,123150.712,124334.867,
Seq Number,flow.Sequence,1_0,2020-11-29T22:30:29.550Z,,,,,1671.2510000137845,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,124325.06000000285,124321.67500001378,122583.685,122599.6350000496,122650.424,124334.867,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T22:30:30.044Z,,,,,500.3420000000042,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,124819.76000004215,124818.576,124318.167,124325.37000003504,124334.867,124835.209,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T22:30:31.230Z,,,true,85,1167.4060000048776,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,126005.05999999586,126002.61500000488,124818.576,124819.98500000918,124835.209,126019.369,
Seq Number,flow.Sequence,1_1,2020-11-29T22:30:31.230Z,,,,,1667.7480000048818,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,126005.5000000284,126002.61500000488,124318.167,124325.29500004603,124334.867,126019.369,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T22:30:31.728Z,,,,,500.3509999999951,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,126503.90500004869,126503.102,126002.738,126005.75500004925,126019.369,126519.72,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T22:30:32.623Z,,,true,25,876.7250000203203,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,127398.19000003627,127396.44500002032,126503.102,126504.16000001132,126519.72,127403.61,
Seq Number,flow.Sequence,1_2,2020-11-29T22:30:32.623Z,,,,,1377.0760000203154,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,127398.65000004647,127396.44500002032,126002.738,126005.70999999763,126019.369,127403.61,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T22:30:33.112Z,,,,,500.35599999999977,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,127887.92000000831,127887.282,127387.028,127398.96500000032,127403.61,127903.966,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T22:30:34.024Z,,,true,35,892.1289999978762,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,128799.1200000397,128796.09499999788,127887.282,127888.2900000317,127903.966,128804.629,
Seq Number,flow.Sequence,1_3,2020-11-29T22:30:34.024Z,,,,,1392.484999997876,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,128799.99000002863,128796.09499999788,127387.028,127398.90000002924,127403.61,128804.629,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T22:30:34.514Z,,,,,500.3859999999986,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,129289.21499999706,129288.345,128787.912,128800.4700000165,128804.629,129305.015,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T22:30:35.278Z,,,false,76,746.9950000430836,response,6.png,76,63.6,72,76,65,46,59,65,click @btnC,10.556514576317317,130053.7750000367,130052.01000004308,129288.345,129289.55500002485,129305.015,130055.452,
Seq Number,flow.Sequence,1_4,2020-11-29T22:30:35.278Z,,,,,1247.3810000430822,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,130053.990000044,130052.01000004308,128787.912,128800.38000002969,128804.629,130055.452,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T22:30:35.765Z,,,,,500.41300000000047,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,130540.02000001492,130539.187,130038.829,130054.13000000408,130055.452,130555.865,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T22:30:37.127Z,,,false,73,1344.6850000202976,response,9.png,73,64.2,71,69,73,55,53,71,click @btnA,8.44748483277715,131902.08000002895,131900.5500000203,130539.187,130540.48500000499,130555.865,131906.736,
Seq Number,flow.Sequence,1_5,2020-11-29T22:30:37.127Z,,,,,1845.098000020298,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,131902.27500000037,131900.5500000203,130038.829,130054.10500004655,130055.452,131906.736,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T22:30:37.616Z,,,,,500.3739999999816,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,132391.3000000175,132390.477,131890.13,131902.41500001866,131906.736,132407.11,
