sender,sender_type,sender_id,timestamp,meta,,correct,correctResponse,duration,ended_on,img,max,mean,num1,num2,num3,num4,num5,response,response_action,std,time_commit,time_end,time_render,time_run,time_show,time_switch,url
Opening,html.Page,0,2020-11-29T22:40:52.683Z,"{""labjs_version"":""20.1.1"",""labjs_build"":{""flavor"":""production"",""commit"":""c48ac4ada3769e8d34489594ab03097d5f256ac7""},""location"":""file:///C:/Users/lab/Desktop/study-export/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36"",""platform"":""Win32"",""language"":""ja-JP"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1368,""screen_height"":912,""scroll_width"":1368,""scroll_height"":778,""window_innerWidth"":1368,""window_innerHeight"":802,""devicePixelRatio"":2}",,,,24482.15799999078,form submission,,,,,,,,,,,,26735.75999995228,26735.09999999078,2202.927,2202.454999962356,2252.942,26763.427,{}
Fixation Cross,canvas.Screen,1_0_0,2020-11-29T22:40:53.196Z,,,,,500.39800000000105,timeout,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,27248.414999980014,27247.101,26730.127,26736.41499999212,26763.427,27263.825,
Stimulus Number,canvas.Screen,1_0_1,2020-11-29T22:40:55.402Z,,,true,75,2189.149999963771,response,3.png,75,45.6,56,28,27,75,42,75,click @btnD,18.11739495622922,29454.834999982268,29452.97499996377,27247.101,27248.95999999717,27263.825,29465.255,
Seq Number,flow.Sequence,1_0,2020-11-29T22:40:55.404Z,,,,,2689.547999963772,completion,3.png,75,45.6,56,28,27,75,42,,,18.11739495622922,29455.98999998765,29452.97499996377,26730.127,26736.284999991767,26763.427,29465.255,
Fixation Cross,canvas.Screen,1_1_0,2020-11-29T22:40:55.897Z,,,,,500.34999999999854,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,29949.589999974705,29948.957,29448.638,29456.41499996418,29465.255,29965.605,
Stimulus Number,canvas.Screen,1_1_1,2020-11-29T22:40:56.999Z,,,true,104,1084.7749999714833,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,31051.634999981616,31050.379999971483,29948.957,29950.00999997137,29965.605,31066.354,
Seq Number,flow.Sequence,1_1,2020-11-29T22:40:57.000Z,,,,,1585.1249999714819,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,31052.32999997679,31050.379999971483,29448.638,29456.334999995306,29465.255,31066.354,
Fixation Cross,canvas.Screen,1_2_0,2020-11-29T22:40:57.498Z,,,,,500.3739999999998,timeout,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,31550.684999965597,31550.005,31049.724,31052.83000000054,31066.354,31566.728,
Stimulus Number,canvas.Screen,1_2_1,2020-11-29T22:40:59.798Z,,,true,76,2282.3469999764384,response,6.png,76,63.6,72,76,65,46,59,76,click @btnB,10.556514576317317,33850.284999993164,33849.07499997644,31550.005,31550.954999984242,31566.728,33868.889,
Seq Number,flow.Sequence,1_2,2020-11-29T22:40:59.798Z,,,,,2782.720999976438,completion,6.png,76,63.6,72,76,65,46,59,,,10.556514576317317,33850.76000000117,33849.07499997644,31049.724,31052.744999993593,31066.354,33868.889,
Fixation Cross,canvas.Screen,1_3_0,2020-11-29T22:41:00.300Z,,,,,499.7609999999986,timeout,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,34352.734999964014,34352.014,33834.965,33851.02000000188,33868.889,34368.65,
Stimulus Number,canvas.Screen,1_3_1,2020-11-29T22:41:01.526Z,,,true,58,1208.474999952501,response,4.png,58,42.2,24,58,51,32,46,58,click @btnB,12.464349160706305,35578.51999998093,35577.1249999525,34352.014,34352.95999998925,34368.65,35586.165,
Seq Number,flow.Sequence,1_3,2020-11-29T22:41:01.527Z,,,,,1708.2359999524997,completion,4.png,58,42.2,24,58,51,32,46,,,12.464349160706305,35579.22499999404,35577.1249999525,33834.965,33850.9699999704,33868.889,35586.165,
Fixation Cross,canvas.Screen,1_4_0,2020-11-29T22:41:02.018Z,,,,,500.4210000000021,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,36070.524999988265,36069.849,35569.494,35579.679999966174,35586.165,36086.586,
Stimulus Number,canvas.Screen,1_4_1,2020-11-29T22:41:03.441Z,,,true,35,1405.5889999630235,response,5.png,35,19.6,17,19,27,0,35,35,click @btnE,11.689311356961968,37493.57999995118,37492.17499996303,36069.849,36070.86999999592,36086.586,37504.118,
Seq Number,flow.Sequence,1_4,2020-11-29T22:41:03.442Z,,,,,1906.0099999630256,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,37494.3599999533,37492.17499996303,35569.494,35579.604999977164,35586.165,37504.118,
Fixation Cross,canvas.Screen,1_5_0,2020-11-29T22:41:03.936Z,,,,,500.32600000000093,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,37988.444999966305,37987.848,37487.527,37494.7449999745,37504.118,38004.444,
Stimulus Number,canvas.Screen,1_5_1,2020-11-29T22:41:05.715Z,,,true,73,1761.69599996334,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,39767.28999998886,39766.13999996334,37987.848,37988.67499997141,38004.444,39772.335,
Seq Number,flow.Sequence,1_5,2020-11-29T22:41:05.716Z,,,,,2262.021999963341,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,39767.979999945965,39766.13999996334,37487.527,37494.68000000343,37504.118,39772.335,
Fixation Cross,canvas.Screen,1_6_0,2020-11-29T22:41:06.204Z,,,,,500.3839999999982,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,40256.719999946654,40256.063,39755.716,39768.54999997886,39772.335,40272.719,
Stimulus Number,canvas.Screen,1_6_1,2020-11-29T22:41:07.567Z,,,false,85,1345.4659999702562,response,7.png,85,77.6,79,73,85,77,74,79,click @btnA,4.2708313008125245,41619.624999992084,41618.18499997025,40256.063,40256.999999983236,40272.719,41640.335,
Seq Number,flow.Sequence,1_6,2020-11-29T22:41:07.568Z,,,,,1845.8499999702544,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,41620.27499999385,41618.18499997025,39755.716,39768.44999997411,39772.335,41640.335,
Fixation Cross,canvas.Screen,1_7_0,2020-11-29T22:41:08.072Z,,,,,500.3790000000008,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,42124.629999976605,42124.011,41623.692,41620.73499994585,41640.335,42140.714,
Stimulus Number,canvas.Screen,1_7_1,2020-11-29T22:41:09.336Z,,,true,25,1246.2509999542162,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,43388.07999994606,43386.964999954216,42124.011,42124.855000001844,42140.714,43391.493,
Seq Number,flow.Sequence,1_7,2020-11-29T22:41:09.336Z,,,,,1746.629999954217,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,43388.47999996506,43386.964999954216,41623.692,41620.64999999711,41640.335,43391.493,
Fixation Cross,canvas.Screen,1_8_0,2020-11-29T22:41:09.823Z,,,,,500.36299999999756,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,43875.854999991134,43875.235,43374.85,43388.72999994783,43391.493,43891.856,
Stimulus Number,canvas.Screen,1_8_1,2020-11-29T22:41:11.499Z,,,true,41,1658.1939999616297,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,45551.559999992605,45550.04999996163,43875.235,43876.08499999624,43891.856,45559.647,
Seq Number,flow.Sequence,1_8,2020-11-29T22:41:11.500Z,,,,,2158.5569999616273,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,45552.389999968,45550.04999996163,43374.85,43388.68499995442,43391.493,45559.647,
Fixation Cross,canvas.Screen,1_9_0,2020-11-29T22:41:11.991Z,,,,,500.32500000000437,timeout,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,46043.814999982715,46043.312,45542.989,45552.869999955874,45559.647,46059.972,
Stimulus Number,canvas.Screen,1_9_1,2020-11-29T22:41:13.345Z,,,true,93,1336.042999947509,response,2.png,93,86.0,93,90,79,92,76,93,click @btnA,7.0710678118654755,47397.23999996204,47396.01499994751,46043.312,46044.089999981225,46059.972,47410.932,
Seq Number,flow.Sequence,1_9,2020-11-29T22:41:13.346Z,,,,,1836.3679999475135,completion,2.png,93,86.0,93,90,79,92,76,,,7.0710678118654755,47397.98999996856,47396.01499994751,45542.989,45552.7749999892,45559.647,47410.932,
Loop Number,flow.Loop,1,2020-11-29T22:41:13.346Z,,,,,20632.58799994751,completion,,,,,,,,,,,,47398.649999988265,47396.01499994751,26730.127,26736.22500000056,26763.427,47410.932,
Interval,html.Page,2,2020-11-29T22:41:16.379Z,,,,,3020.202999962523,form submission,,,,,,,,,,,,50431.50499998592,50431.13499996252,47394.274,47399.04999994906,47410.932,50446.356,
Fixation Cross,canvas.Screen,3_0_0,2020-11-29T22:41:16.879Z,,,,,500.3530000000028,timeout,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,50930.90999999549,50930.091,50429.706,50431.8299999577,50446.356,50946.709,
Stimulus Graph,canvas.Screen,3_0_1,2020-11-29T22:41:18.106Z,,,true,25,1210.400999970996,response,8.png,25,10.0,13,6,25,4,2,25,click @btnC,8.366600265340756,52158.28499995405,52157.109999971,50930.091,50931.33999995189,50946.709,52164.218,
Seq Graph,flow.Sequence,3_0,2020-11-29T22:41:18.107Z,,,,,1710.7539999709988,completion,8.png,25,10.0,13,6,25,4,2,,,8.366600265340756,52158.93499995582,52157.109999971,50429.706,50431.790000002366,50446.356,52164.218,
Fixation Cross,canvas.Screen,3_1_0,2020-11-29T22:41:18.596Z,,,,,500.3110000000015,timeout,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,52648.60499999486,52647.948,52147.549,52159.38999998616,52164.218,52664.529,
Stimulus Graph,canvas.Screen,3_1_1,2020-11-29T22:41:21.734Z,,,true,73,3120.575999959001,response,9.png,73,64.2,71,69,73,55,53,73,click @btnC,8.44748483277715,55786.284999980126,55785.104999959,52647.948,52648.83499999996,52664.529,55800.012,
Seq Graph,flow.Sequence,3_1,2020-11-29T22:41:21.734Z,,,,,3620.8869999590024,completion,9.png,73,64.2,71,69,73,55,53,,,8.44748483277715,55786.82999999728,55785.104999959,52147.549,52159.30499997921,52164.218,55800.012,
Fixation Cross,canvas.Screen,3_2_0,2020-11-29T22:41:22.232Z,,,,,500.4429999999993,timeout,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,56284.545000002254,56283.761,55783.387,55787.084999959916,55800.012,56300.455,
Stimulus Graph,canvas.Screen,3_2_1,2020-11-29T22:41:23.206Z,,,false,35,956.7149999971298,response,5.png,35,19.6,17,19,27,0,35,0,click @btnD,11.689311356961968,57258.41999996919,57257.16999999713,56283.761,56284.98999995645,56300.455,57267.715,
Seq Graph,flow.Sequence,3_2,2020-11-29T22:41:23.207Z,,,,,1457.157999997129,completion,5.png,35,19.6,17,19,27,0,35,,,11.689311356961968,57259.08499996876,57257.16999999713,55783.387,55787.03999996651,55800.012,57267.715,
Fixation Cross,canvas.Screen,3_3_0,2020-11-29T22:41:23.700Z,,,,,500.4720000000016,timeout,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,57752.029999974184,57751.431,57251.128,57259.53499996103,57267.715,57768.187,
Stimulus Graph,canvas.Screen,3_3_1,2020-11-29T22:41:24.699Z,,,true,85,981.8429999956061,response,7.png,85,77.6,79,73,85,77,74,85,click @btnC,4.2708313008125245,58751.38499995228,58750.029999995604,57751.431,57752.269999997225,57768.187,58768.741,
Seq Graph,flow.Sequence,3_3,2020-11-29T22:41:24.700Z,,,,,1482.3149999956076,completion,7.png,85,77.6,79,73,85,77,74,,,4.2708313008125245,58752.095000003465,58750.029999995604,57251.128,57259.449999954086,57267.715,58768.741,
Fixation Cross,canvas.Screen,3_4_0,2020-11-29T22:41:25.201Z,,,,,500.4259999999995,timeout,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,59253.09999997262,59252.461,58752.095,58752.63999996241,58768.741,59269.167,
Stimulus Graph,canvas.Screen,3_4_1,2020-11-29T22:41:25.984Z,,,true,41,765.8429999923246,response,0.png,41,32.4,27,41,22,38,34,41,click @btnB,7.002856560004639,60036.17999999551,60035.009999992326,59252.461,59253.44000000041,59269.167,60053.159,
Seq Graph,flow.Sequence,3_4,2020-11-29T22:41:25.985Z,,,,,1266.268999992324,completion,0.png,41,32.4,27,41,22,38,34,,,7.002856560004639,60036.91999998409,60035.009999992326,58752.095,58752.554999955464,58768.741,60053.159,
Fixation Cross,canvas.Screen,3_5_0,2020-11-29T22:41:26.485Z,,,,,500.2300000000032,timeout,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,60537.23999997601,60536.684,60036.348,60037.484999978915,60053.159,60553.389,
Stimulus Graph,canvas.Screen,3_5_1,2020-11-29T22:41:27.491Z,,,true,104,988.5909999799551,response,1.png,104,92.2,95,84,104,82,96,104,click @btnC,8.158431221748456,61543.04999997839,61541.97999997996,60536.684,60537.46999998111,60553.389,61554.002,
Seq Graph,flow.Sequence,3_5,2020-11-29T22:41:27.491Z,,,,,1488.8209999799583,completion,1.png,104,92.2,95,84,104,82,96,,,8.158431221748456,61543.44999999739,61541.97999997996,60036.348,60037.384999974165,60053.159,61554.002,
